anchor_idx,query_image,num_matches,num_inliers
40200,756502351714651,1177,1022
40050,756502351714651,1160,922
39250,757602924918718,560,431
38750,757602924918718,530,414
39200,757602924918718,545,403
38350,762142218000244,1360,1082
38300,762142218000244,1246,1054
38400,762142218000244,1213,1027
39800,768038204084010,466,342
39850,768038204084010,392,329
38150,768038204084010,477,322
7786,788402008462473,469,370
7781,788402008462473,458,344
7791,788402008462473,351,248
40300,788758438700923,1882,1464
40250,788758438700923,1523,1211
40200,788758438700923,1335,1134
40150,798828541070427,624,457
39950,798828541070427,701,456
40200,798828541070427,553,431
40850,814777059445023,796,652
40950,814777059445023,620,544
40900,814777059445023,644,506
39850,820128915279935,583,386
38750,820128915279935,495,360
38450,820128915279935,408,341
39850,821647072096938,1437,1095
39900,821647072096938,1397,980
39750,821647072096938,1150,922
40850,824477145168302,727,428
40900,824477145168302,506,422
40800,824477145168302,623,412
40850,845880612806772,506,408
40800,845880612806772,493,380
40750,845880612806772,412,341
40850,874933963097007,717,620
40800,874933963097007,606,514
40750,874933963097007,539,486
40550,888322191749612,1735,1636
40450,888322191749612,1279,1044
40600,888322191749612,1206,1034
40850,895003237714718,1163,910
40800,895003237714718,829,696
40750,895003237714718,774,637
39600,900588070502827,1361,1100
39700,900588070502827,1414,985
39550,900588070502827,1229,944
40450,903300047191846,769,528
40500,903300047191846,658,464
40400,903300047191846,710,456
39600,929911347773219,522,385
38500,929911347773219,493,380
38750,929911347773219,499,353
39100,930951020780788,1854,1466
39050,930951020780788,1626,1414
39000,930951020780788,1269,1032
39550,942084006546748,669,453
39450,942084006546748,623,448
39600,942084006546748,626,409
38600,1060345244496307,1514,1210
38500,1060345244496307,1364,1209
38550,1060345244496307,1381,1170
38450,1124747658033783,1437,1082
38400,1124747658033783,1206,1050
38350,1124747658033783,1155,934
40150,1141189789728712,915,671
40250,1141189789728712,859,634
40200,1141189789728712,746,626
38750,1187290888379768,1618,1362
38800,1187290888379768,1461,1362
38700,1187290888379768,1358,1105
39800,1251671701896502,1475,1073
39850,1251671701896502,1448,1034
39900,1251671701896502,1127,982
38050,1289426271474196,487,294
38100,1289426271474196,363,284
37800,1289426271474196,476,279
2546,1368405473535383,445,344
2591,1368405473535383,509,338
2581,1368405473535383,438,284
38250,1383499185356967,409,300
38300,1383499185356967,416,293
38150,1383499185356967,436,288
