anchor_idx,query_idx,num_matches,num_inliers
350,20400,53,17
350,20450,32,18
350,20500,11,7
350,20550,21,13
350,20600,9,7
350,20650,18,12
350,20700,30,14
350,20750,44,25
350,20800,17,11
350,20850,11,7
350,20900,13,7
350,20950,33,15
350,21000,44,12
350,21050,39,14
350,21100,88,25
350,21150,59,20
350,21200,52,15
350,21250,29,14
400,20000,96,71
400,20050,106,39
400,20100,50,26
400,20150,42,19
400,20200,116,32
400,20250,43,17
400,20300,118,29
400,20350,68,28
400,20400,100,31
400,20450,24,13
400,20500,17,11
400,20550,69,22
400,20600,23,15
400,20650,30,18
400,20700,28,14
400,20750,17,10
400,20800,2,0
400,20850,0,0
400,20900,1,0
400,20950,5,0
400,21000,29,16
400,21050,20,12
400,21100,61,26
400,21150,38,15
400,21200,76,25
400,21250,76,24
450,20000,306,189
450,20050,188,92
450,20100,49,22
450,20150,67,21
450,20200,61,19
450,20250,81,18
450,20300,120,26
450,20350,78,22
450,20400,89,28
450,20450,114,30
450,20500,56,21
450,20550,137,46
450,20600,101,40
450,20650,18,10
450,20700,52,16
450,20750,21,12
450,20800,7,0
450,20850,29,17
450,20900,4,0
450,20950,7,0
450,21000,23,11
450,21050,30,15
450,21100,16,9
450,21150,22,11
450,21200,22,10
450,21250,29,12
500,20000,456,393
500,20050,227,192
500,20100,5,0
500,20150,6,0
500,20200,24,13
500,20250,80,31
500,20300,104,34
500,20350,29,14
500,20400,53,18
500,20450,2,0
500,20500,6,0
500,20550,21,12
500,20600,4,0
500,20650,11,7
500,20700,42,17
500,20750,2,0
500,20800,12,7
500,20850,15,10
500,20900,1,0
500,20950,11,7
500,21000,30,13
500,21050,31,16
500,21100,91,29
500,21150,34,17
500,21200,73,25
500,21250,0,0
550,20000,807,709
550,20050,627,494
550,20100,295,260
550,20150,313,273
550,20200,186,166
550,20250,177,158
550,20300,101,87
550,20350,86,47
550,20400,174,69
550,20450,184,103
550,20500,85,42
550,20550,37,18
550,20600,24,15
550,20650,53,20
550,20700,60,19
550,20750,67,24
550,20800,7,0
550,20850,19,11
550,20900,11,7
550,20950,41,26
550,21000,15,10
550,21050,49,14
550,21100,107,26
550,21150,107,25
550,21200,136,30
550,21250,37,14
600,20000,1089,913
600,20050,1499,1232
600,20100,1211,1059
600,20150,1033,892
600,20200,809,763
600,20250,748,645
600,20300,656,570
600,20350,602,548
600,20400,539,494
600,20450,551,425
600,20500,518,458
600,20550,460,352
600,20600,445,360
600,20650,393,327
600,20700,341,282
600,20750,359,302
600,20800,144,97
600,20850,302,240
600,20900,307,264
600,20950,240,193
600,21000,147,133
600,21050,135,115
600,21100,135,116
600,21150,158,123
600,21200,180,152
600,21250,120,99
650,20000,943,820
650,20050,1144,1107
650,20100,1693,1410
650,20150,1300,1071
650,20200,1068,888
650,20250,880,774
650,20300,765,702
650,20350,652,571
650,20400,576,511
650,20450,584,523
650,20500,566,481
650,20550,490,469
650,20600,471,439
650,20650,411,333
650,20700,323,269
650,20750,350,308
650,20800,179,108
650,20850,285,204
650,20900,276,225
650,20950,248,199
650,21000,212,198
650,21050,176,166
650,21100,169,147
650,21150,193,160
650,21200,233,176
650,21250,148,123
700,20000,769,738
700,20050,886,874
700,20100,1246,1083
700,20150,1659,1502
700,20200,1230,1008
700,20250,1025,788
700,20300,819,753
700,20350,752,618
700,20400,655,610
700,20450,609,581
700,20500,610,589
700,20550,512,416
700,20600,496,405
