anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
4,11,8800,23300,878,827
4,11,8700,23300,921,817
4,11,8600,23300,912,810
4,11,8700,23350,1019,920
4,11,8600,23350,1086,918
4,11,9500,23350,1037,869
4,11,8600,23400,1065,1035
4,11,9550,23400,1367,877
4,11,8500,23400,961,814
4,11,9550,23450,1405,1045
4,11,8500,23450,972,895
4,11,8600,23450,818,710
4,11,8400,23500,1057,904
4,11,8500,23500,984,892
4,11,8550,23500,954,891
4,11,8400,23550,1117,980
4,11,8350,23550,1125,938
4,11,8600,23550,943,831
4,11,8350,23600,1060,941
4,11,8400,23600,963,852
4,11,8300,23600,923,802
4,11,8250,23650,1187,1005
4,11,8300,23650,1189,1002
4,11,8200,23650,987,863
4,11,8250,23700,1400,1377
4,11,8200,23700,1263,1169
4,11,9950,23700,1178,1122
4,11,9950,23750,1310,1257
4,11,8250,23750,1406,1181
4,11,8200,23750,1296,1109
4,11,8100,23800,1031,956
4,11,8150,23800,1002,918
4,11,8550,23800,884,787
4,11,8550,23850,938,795
4,11,8600,23850,802,672
4,11,8650,23850,767,669
4,11,8550,23900,724,639
4,11,8600,23900,694,619
4,11,8650,23900,670,548
4,11,8550,23950,704,614
4,11,8600,23950,663,511
4,11,8650,23950,574,482
4,12,8350,24000,605,551
4,12,8250,24000,581,538
4,12,8550,24000,683,521
4,12,8250,24050,669,607
4,12,8350,24050,673,566
4,12,8150,24050,623,560
4,12,8350,24100,637,556
4,12,8250,24100,607,498
4,12,8150,24100,572,491
4,12,8250,24150,518,419
4,12,8450,24150,533,399
4,12,8400,24150,475,395
4,12,8450,24200,495,377
4,12,8350,24200,429,343
4,12,8550,24200,466,333
4,12,8450,24250,441,341
4,12,8400,24250,404,300
4,12,8600,24250,411,291
4,12,8450,24300,316,237
4,12,8400,24300,281,206
4,12,8550,24300,307,197
4,12,8600,24350,339,222
4,12,8550,24350,339,213
4,12,8650,24350,339,202
4,12,8400,24400,157,75
4,12,8550,24400,217,61
4,12,8450,24400,145,59
4,12,8550,24450,312,186
4,12,8600,24450,231,150
4,12,8650,24450,276,148
4,12,8550,24500,257,151
4,12,8450,24500,228,150
4,12,8400,24500,210,138
4,12,8600,24550,207,146
4,12,8350,24550,205,137
4,12,8450,24550,202,133
4,12,8250,24600,138,82
4,12,8650,24600,131,80
4,12,8550,24600,136,79
4,12,8600,24650,88,53
4,12,8200,24650,134,50
